Engine_Speed,Fuel_Flow,Intake_Manifold_Pressure,Coolant_Temp,Ambient_Temp,Engine_Performance
2640,44.52,1.66,97,20,216.61
2973,22.55,1.74,80,21,175.67
1578,16.59,2.71,107,16,195.37
938,40.22,2.9,95,32,224.97
2498,38.71,2.51,76,38,228.12
955,41.92,2.67,110,18,224.32
1816,30.93,1.14,110,18,145.22
2151,28.46,1.17,108,37,156.85
2343,32.4,1.65,86,19,189.94
1608,10.39,2.1,82,10,159.99
2406,24.88,1.43,104,37,151.57
1175,22.39,1.26,110,32,128.4
1325,20.52,1.95,77,12,159.0
873,47.1,1.74,110,25,184.16
2715,16.55,2.66,108,15,209.91
1661,46.5,2.96,109,16,267.51
1123,32.32,1.56,103,26,158.05
1190,23.98,1.16,101,29,127.65
669,25.84,1.69,91,10,140.18
814,42.72,2.13,102,24,196.15
1697,23.83,1.76,89,12,167.28
1587,35.07,2.63,70,20,215.03
1957,48.22,2.66,78,19,255.09
2436,21.16,2.71,93,38,226.13
2435,30.19,1.99,95,34,204.11
1085,47.88,1.67,97,28,189.92
1412,30.29,1.68,98,24,165.2
2468,44.44,1.86,83,27,212.71
1817,37.54,1.49,85,38,173.97
1477,49.91,1.04,100,34,164.86
2562,48.03,1.81,90,12,227.17
1633,15.59,1.96,91,38,148.46
1340,49.69,2.83,99,38,246.67
2781,40.28,2.83,84,38,265.5
770,23.35,2.45,82,22,175.7
2543,36.11,2.27,84,19,222.4
1277,25.65,2.33,78,40,182.88
2440,21.77,1.75,93,24,178.56
1831,30.05,2.01,86,40,189.91
1245,34.88,1.53,74,34,157.34
2829,12.41,1.3,87,36,138.46
665,16.47,1.34,75,15,113.98
2731,44.06,1.43,79,36,183.62
621,40.11,2.95,106,12,224.8
2110,14.76,1.88,92,34,161.37
1771,37.83,1.22,102,36,151.05
2892,28.78,2.66,75,28,245.66
2375,19.18,1.66,88,14,166.48
2672,27.59,1.64,89,35,170.81
1518,49.39,2.31,73,35,227.06
2671,42.69,1.38,84,24,188.81
2281,34.63,1.46,107,15,173.56
932,12.78,2.51,110,13,166.38
2057,31.19,1.81,102,23,185.28
799,28.89,1.89,95,25,149.61
2277,19.65,1.17,72,22,129.64
2868,23.55,1.11,86,39,149.45
2535,39.88,1.36,87,27,183.23
1689,41.64,1.76,72,12,184.32
2656,10.1,1.47,82,26,137.75
2528,46.19,2.29,87,24,237.37
2924,14.53,2.75,95,19,229.51
2780,25.98,2.52,93,39,224.59
1686,40.8,1.73,104,29,176.1
707,41.68,1.62,80,16,152.62
1793,42.73,2.62,80,39,227.92
2228,40.22,1.66,92,16,194.88
1220,36.25,2.86,71,36,231.36
1931,37.54,2.33,74,15,207.58
1476,30.08,2.0,92,30,183.11
1701,47.59,2.47,88,11,228.28
1861,30.47,2.27,71,25,208.0
1308,24.54,1.15,74,24,117.51
1407,41.41,2.15,101,22,195.47
1340,16.63,2.86,97,22,195.11
931,28.18,1.35,76,37,128.72
2909,11.38,1.42,100,32,143.32
2832,34.33,2.95,108,16,260.74
1951,34.17,1.14,107,21,147.22
2449,12.76,2.99,71,34,227.44
2348,33.47,1.92,81,15,205.66
2619,20.25,1.14,79,40,147.68
2218,11.98,1.84,75,19,160.49
2118,48.27,2.23,70,12,235.7
2240,42.5,2.02,107,32,209.3
1631,21.99,2.9,99,16,210.99
687,15.43,1.13,71,23,105.08
920,12.32,1.55,109,28,118.95
1349,26.32,2.67,105,11,200.15
2882,18.03,2.58,85,38,209.99
2158,23.96,1.54,104,22,167.46
2483,23.88,1.29,85,12,162.26
2510,49.91,2.7,104,17,262.17
2318,18.61,2.12,101,17,193.48
1348,23.69,1.75,91,30,145.77
725,41.82,2.9,93,31,233.21
2774,18.09,2.43,87,16,217.19
2457,21.93,2.84,74,24,235.92
1396,44.85,1.97,94,12,195.41
1707,45.71,2.73,91,22,242.09
1945,29.75,1.18,81,32,139.78
1712,26.48,1.89,77,12,175.32
1941,13.99,1.01,98,15,115.49
2154,38.5,2.51,106,18,242.17
824,23.58,2.88,80,29,191.19
1630,13.51,1.4,94,10,139.25
2010,39.77,2.03,98,21,215.1
2108,46.4,2.68,100,14,255.33
1692,14.15,2.74,77,15,198.6
1730,20.3,2.89,108,12,227.76
1408,22.17,1.29,78,34,127.47
2974,19.36,2.29,70,13,215.29
2282,20.83,2.63,85,28,209.87
1691,20.38,1.12,77,23,133.09
2415,22.07,1.72,101,10,171.04
1762,30.68,2.49,96,19,220.42
2698,47.45,2.05,75,10,242.21
1352,43.16,2.25,93,18,203.0
1131,46.93,2.2,104,12,210.7
1452,39.95,1.98,107,30,195.51
2360,14.69,1.31,74,15,138.1
1198,10.33,1.68,102,19,123.75
2001,48.83,1.92,73,30,210.92
1211,40.98,2.64,83,36,227.16
2206,26.72,1.05,81,33,131.02
1594,34.53,1.92,80,35,181.07
688,43.35,1.4,82,20,160.11
779,37.29,1.55,88,33,151.73
2641,23.92,1.26,79,11,150.24
1339,48.79,1.49,82,14,188.5
722,31.33,2.55,89,28,188.77
2591,45.32,1.37,78,36,192.48
1463,47.78,1.14,100,28,154.82
1525,41.24,2.54,77,19,222.81
1693,44.53,2.59,95,11,230.24
1744,22.44,1.84,77,14,165.71
2971,17.36,2.78,85,36,217.5
1731,40.39,2.49,76,15,224.74
2796,17.53,1.41,78,40,161.92
633,27.3,1.75,89,17,146.29
2233,45.5,2.08,78,29,217.14
2845,13.74,1.72,82,33,163.72
756,13.93,2.07,103,17,138.49
1513,10.15,2.66,91,13,191.57
2562,24.52,2.71,98,38,217.53
669,35.05,1.24,106,30,133.03
805,45.13,1.79,89,27,173.2
2054,49.11,1.15,84,37,172.78
915,21.67,2.53,86,10,180.02
2042,18.59,1.03,77,15,126.32
2300,23.28,1.15,102,27,137.23
2407,40.94,1.32,81,17,186.6
803,39.25,2.04,100,12,175.65
995,29.85,2.85,106,25,212.65
2886,14.52,1.83,82,40,167.44
1248,35.88,2.4,99,33,207.22
1678,24.88,2.23,95,14,180.2
743,11.3,1.4,81,26,111.92
1511,43.06,1.93,71,12,206.03
1253,26.4,1.37,109,26,142.98
2845,27.94,1.28,90,33,162.78
1303,23.59,1.74,93,36,158.95
900,16.33,1.03,110,10,103.32
1768,20.56,1.36,103,21,148.69
1498,11.72,1.71,108,15,141.87
1208,12.09,1.37,100,13,116.09
2215,37.99,1.2,90,33,158.82
1663,15.87,2.42,77,19,185.2
2320,20.29,1.93,85,30,166.74
2276,38.72,2.76,79,24,251.35
1237,36.44,1.69,88,29,165.18
2176,47.01,1.59,102,11,201.83
2611,37.19,1.49,103,29,178.42
1200,29.42,2.37,97,18,198.45
1870,44.51,2.61,109,19,233.76
2980,47.69,2.13,76,16,249.74
828,37.21,1.19,101,22,136.68
2029,11.94,1.79,70,31,151.13
2549,33.17,1.37,95,18,170.9
1859,27.38,1.06,92,38,129.94
2628,28.33,2.74,110,40,225.53
2685,41.31,2.47,71,28,232.18
1366,25.2,2.07,102,32,170.38
2984,27.79,2.97,89,29,244.22
1176,45.12,2.68,74,11,236.42
1885,21.55,1.32,81,14,134.27
809,13.72,2.28,79,30,142.82
1827,29.47,1.68,101,20,170.25
1318,39.42,1.95,91,20,197.58
1368,26.66,2.82,88,26,209.82
1259,45.56,2.83,92,26,233.83
677,19.19,1.34,72,28,108.69
2156,25.27,1.64,107,13,161.53
2893,10.28,2.51,70,35,197.71
711,21.43,2.31,108,24,159.12
2228,21.16,1.49,94,28,162.37
1998,30.88,2.88,73,26,224.34
807,45.65,1.18,106,14,155.77
2370,16.53,2.09,95,11,187.72
2506,35.88,1.2,74,19,165.46
2470,12.69,1.13,77,40,131.07
1424,14.45,1.15,104,11,109.99
786,17.06,1.78,82,24,130.93
922,32.38,1.79,108,27,168.53
1471,37.97,1.39,74,12,155.91
2074,45.31,1.3,96,38,180.81
2942,33.24,2.5,104,17,231.7
1723,15.98,2.78,108,26,195.93
1194,41.31,2.67,77,19,225.26
2676,15.07,2.36,79,21,201.59
2090,43.94,1.16,71,37,161.72
2909,11.3,2.79,97,11,225.01
738,34.09,2.64,77,31,197.12
1634,30.56,2.35,101,20,205.29
1577,44.03,1.22,88,25,164.69
2663,31.73,1.91,83,37,207.11
1612,17.54,2.45,77,32,174.75
2485,28.54,2.67,74,26,231.12
1335,29.68,1.92,70,20,162.8
1666,32.06,1.59,85,26,165.87
786,13.03,1.31,88,18,113.13
2326,32.57,2.38,100,20,226.97
865,32.17,2.15,93,24,184.44
1326,20.01,2.67,85,38,181.38
1457,39.04,2.19,84,28,206.05
2626,37.52,1.5,86,26,185.47
2091,20.54,1.92,85,10,181.0
2938,33.6,1.82,79,22,211.94
2304,49.11,1.57,87,31,210.55
1688,25.72,2.28,73,27,191.52
1487,13.33,2.73,85,38,177.57
1988,47.64,1.83,109,13,207.52
2304,23.06,2.37,85,31,211.1
723,15.22,1.81,104,10,135.09
759,40.61,2.91,105,33,235.09
1069,32.17,2.61,83,26,194.15
2002,27.89,2.57,73,32,218.09
2655,41.44,2.78,97,38,247.63
1876,19.52,2.78,87,29,207.71
